customer_id,store_id,product_name,sales_date,sales_person_id,price,quantity,total_cost,payment_mode
7,122,refined oil,2025-05-15,5,110,3,330,cash
13,123,clinic plus,2025-05-15,8,1.5,5,7.5,cash
17,121,quaker oats,2025-05-15,1,212,1,212,cash
7,123,besan,2025-05-15,9,52,2,104,UPI
1,121,sugar,2025-05-15,2,50,10,500,cash
4,121,maida,2025-05-15,3,20,2,40,UPI
11,122,maida,2025-05-15,6,20,8,160,cash
14,122,sugar,2025-05-15,5,50,4,200,UPI
16,123,nutrella,2025-05-15,7,40,6,240,cash
4,122,nutrella,2025-05-15,5,40,10,400,UPI
5,122,besan,2025-05-15,4,52,5,260,cash
2,121,dantkanti,2025-05-15,1,100,5,500,cash
12,123,quaker oats,2025-05-15,8,212,3,636,UPI
1,122,besan,2025-05-15,6,52,6,312,cash
3,123,maida,2025-05-15,7,20,10,200,UPI
2,123,maida,2025-05-15,9,20,4,80,cash
14,121,refined oil,2025-05-15,3,110,1,110,cash
11,123,quaker oats,2025-05-15,9,212,6,1272,cash
19,123,dantkanti,2025-05-15,8,100,6,600,cash
3,123,clinic plus,2025-05-15,7,1.5,5,7.5,cash
9,122,sugar,2025-05-15,6,50,1,50,UPI
14,122,refined oil,2025-05-15,5,110,8,880,cash
18,121,maida,2025-05-15,2,20,8,160,UPI
17,121,quaker oats,2025-05-15,3,212,10,2120,cash
12,122,besan,2025-05-15,6,52,9,468,UPI
17,123,dantkanti,2025-05-15,9,100,3,300,cash
13,122,besan,2025-05-15,4,52,2,104,UPI
20,121,quaker oats,2025-05-15,1,212,2,424,cash
15,122,maida,2025-05-15,4,20,6,120,cash
8,123,sugar,2025-05-15,7,50,1,50,UPI
15,121,dantkanti,2025-05-15,1,100,2,200,UPI
7,122,besan,2025-05-15,4,52,8,416,cash
20,121,dantkanti,2025-05-15,1,100,10,1000,UPI
10,121,besan,2025-05-15,1,52,6,312,cash
6,121,quaker oats,2025-05-15,1,212,4,848,UPI
3,123,clinic plus,2025-05-15,8,1.5,4,6.0,cash
19,121,quaker oats,2025-05-15,1,212,5,1060,UPI
15,123,besan,2025-05-15,9,52,10,520,UPI
9,121,refined oil,2025-05-15,1,110,8,880,cash
18,123,quaker oats,2025-05-15,9,212,8,1696,UPI
13,122,clinic plus,2025-05-15,6,1.5,4,6.0,cash
10,121,clinic plus,2025-05-15,3,1.5,9,13.5,cash
2,123,clinic plus,2025-05-15,9,1.5,8,12.0,UPI
3,123,nutrella,2025-05-15,7,40,3,120,cash
3,121,sugar,2025-05-15,1,50,10,500,cash
20,121,maida,2025-05-15,3,20,7,140,cash
2,123,dantkanti,2025-05-15,7,100,9,900,UPI
17,122,refined oil,2025-05-15,5,110,2,220,UPI
3,121,dantkanti,2025-05-15,1,100,9,900,cash
16,123,quaker oats,2025-05-15,8,212,1,212,UPI
19,121,besan,2025-05-15,1,52,2,104,cash
9,122,sugar,2025-05-15,6,50,4,200,cash
2,121,refined oil,2025-05-15,1,110,3,330,UPI
17,122,besan,2025-05-15,5,52,5,260,UPI
8,121,nutrella,2025-05-15,2,40,9,360,cash
5,121,clinic plus,2025-05-15,2,1.5,3,4.5,UPI
9,121,maida,2025-05-15,1,20,2,40,cash
12,123,dantkanti,2025-05-15,9,100,10,1000,UPI
10,123,quaker oats,2025-05-15,7,212,6,1272,UPI
19,122,refined oil,2025-05-15,4,110,9,990,UPI
14,122,besan,2025-05-15,4,52,9,468,cash
9,122,quaker oats,2025-05-15,4,212,10,2120,UPI
8,122,quaker oats,2025-05-15,6,212,4,848,UPI
20,123,refined oil,2025-05-15,9,110,9,990,cash
13,123,dantkanti,2025-05-15,9,100,7,700,cash
7,123,sugar,2025-05-15,9,50,1,50,UPI
9,122,besan,2025-05-15,6,52,1,52,UPI
2,122,nutrella,2025-05-15,5,40,3,120,cash
11,122,sugar,2025-05-15,5,50,8,400,UPI
4,122,besan,2025-05-15,6,52,1,52,cash
14,121,refined oil,2025-05-15,3,110,7,770,cash
14,123,maida,2025-05-15,8,20,3,60,UPI
17,123,nutrella,2025-05-15,7,40,6,240,UPI
15,123,nutrella,2025-05-15,9,40,1,40,cash
16,121,maida,2025-05-15,1,20,8,160,cash
14,121,besan,2025-05-15,2,52,9,468,UPI
11,123,quaker oats,2025-05-15,7,212,1,212,cash
2,123,nutrella,2025-05-15,9,40,8,320,UPI
11,122,dantkanti,2025-05-15,5,100,4,400,cash
7,123,maida,2025-05-15,8,20,7,140,UPI
18,122,refined oil,2025-05-15,6,110,9,990,UPI
2,121,clinic plus,2025-05-15,2,1.5,9,13.5,UPI
12,121,nutrella,2025-05-15,2,40,4,160,cash
4,122,maida,2025-05-15,5,20,10,200,UPI
6,122,besan,2025-05-15,5,52,4,208,UPI
16,121,nutrella,2025-05-15,1,40,4,160,UPI
20,121,dantkanti,2025-05-15,2,100,9,900,cash
14,122,besan,2025-05-15,4,52,3,156,UPI
4,123,quaker oats,2025-05-15,9,212,8,1696,UPI
12,122,quaker oats,2025-05-15,4,212,4,848,cash
5,121,refined oil,2025-05-15,3,110,9,990,UPI
7,123,maida,2025-05-15,7,20,5,100,UPI
7,121,sugar,2025-05-15,2,50,4,200,UPI
6,121,clinic plus,2025-05-15,2,1.5,10,15.0,UPI
4,122,refined oil,2025-05-15,4,110,6,660,cash
6,122,sugar,2025-05-15,5,50,5,250,cash
13,121,sugar,2025-05-15,2,50,9,450,UPI
4,123,refined oil,2025-05-15,7,110,1,110,cash
18,122,sugar,2025-05-15,6,50,3,150,UPI
5,123,maida,2025-05-15,8,20,9,180,cash
5,121,nutrella,2025-05-15,2,40,5,200,UPI
20,121,clinic plus,2025-05-15,3,1.5,9,13.5,cash
2,123,clinic plus,2025-05-15,8,1.5,3,4.5,UPI
18,121,quaker oats,2025-05-15,1,212,4,848,cash
7,122,nutrella,2025-05-15,4,40,10,400,cash
20,121,nutrella,2025-05-15,2,40,5,200,cash
14,121,quaker oats,2025-05-15,3,212,10,2120,cash
6,123,besan,2025-05-15,9,52,7,364,cash
6,122,dantkanti,2025-05-15,6,100,3,300,cash
12,122,clinic plus,2025-05-15,5,1.5,7,10.5,cash
20,121,nutrella,2025-05-15,2,40,9,360,cash
3,123,quaker oats,2025-05-15,8,212,1,212,cash
7,122,refined oil,2025-05-15,6,110,2,220,UPI
14,122,besan,2025-05-15,6,52,7,364,UPI
2,122,refined oil,2025-05-15,4,110,4,440,UPI
15,121,besan,2025-05-15,2,52,3,156,UPI
15,121,quaker oats,2025-05-15,3,212,8,1696,UPI
13,123,dantkanti,2025-05-15,8,100,1,100,cash
6,121,maida,2025-05-15,2,20,4,80,UPI
15,122,maida,2025-05-15,5,20,8,160,UPI
2,123,quaker oats,2025-05-15,7,212,4,848,UPI
13,122,clinic plus,2025-05-15,4,1.5,4,6.0,cash
3,122,clinic plus,2025-05-15,4,1.5,1,1.5,cash
20,122,quaker oats,2025-05-15,4,212,7,1484,UPI
15,121,refined oil,2025-05-15,1,110,7,770,cash
20,123,sugar,2025-05-15,9,50,6,300,UPI
8,123,maida,2025-05-15,8,20,7,140,UPI
18,123,refined oil,2025-05-15,8,110,7,770,UPI
5,121,quaker oats,2025-05-15,1,212,2,424,cash
3,123,nutrella,2025-05-15,7,40,6,240,UPI
17,123,sugar,2025-05-15,8,50,1,50,cash
12,123,dantkanti,2025-05-15,9,100,3,300,UPI
5,122,besan,2025-05-15,6,52,2,104,cash
9,122,dantkanti,2025-05-15,6,100,10,1000,cash
15,122,dantkanti,2025-05-15,5,100,9,900,UPI
11,121,quaker oats,2025-05-15,3,212,1,212,UPI
10,121,quaker oats,2025-05-15,1,212,8,1696,UPI
6,123,quaker oats,2025-05-15,9,212,8,1696,cash
6,123,dantkanti,2025-05-15,7,100,2,200,UPI
16,121,clinic plus,2025-05-15,1,1.5,10,15.0,cash
2,121,clinic plus,2025-05-15,3,1.5,9,13.5,cash
11,122,refined oil,2025-05-15,4,110,3,330,cash
10,123,clinic plus,2025-05-15,8,1.5,5,7.5,UPI
6,123,quaker oats,2025-05-15,7,212,2,424,cash
3,121,nutrella,2025-05-15,2,40,6,240,cash
4,122,quaker oats,2025-05-15,6,212,1,212,UPI
15,122,clinic plus,2025-05-15,5,1.5,2,3.0,UPI
2,123,refined oil,2025-05-15,8,110,4,440,UPI
6,123,besan,2025-05-15,7,52,2,104,UPI
1,122,refined oil,2025-05-15,6,110,9,990,UPI
13,121,maida,2025-05-15,1,20,1,20,cash
8,122,sugar,2025-05-15,5,50,3,150,UPI
17,123,nutrella,2025-05-15,8,40,8,320,UPI
12,123,refined oil,2025-05-15,7,110,10,1100,UPI
17,121,quaker oats,2025-05-15,3,212,5,1060,UPI
3,121,nutrella,2025-05-15,2,40,6,240,cash
18,123,maida,2025-05-15,7,20,3,60,UPI
12,122,maida,2025-05-15,4,20,3,60,cash
3,123,quaker oats,2025-05-15,7,212,2,424,cash
6,121,quaker oats,2025-05-15,3,212,1,212,UPI
13,123,clinic plus,2025-05-15,7,1.5,9,13.5,UPI
5,122,dantkanti,2025-05-15,5,100,7,700,UPI
15,123,dantkanti,2025-05-15,7,100,10,1000,cash
11,123,quaker oats,2025-05-15,7,212,10,2120,cash
7,121,sugar,2025-05-15,1,50,10,500,UPI
17,123,refined oil,2025-05-15,8,110,3,330,UPI
1,122,besan,2025-05-15,4,52,6,312,cash
14,122,refined oil,2025-05-15,4,110,9,990,cash
14,123,dantkanti,2025-05-15,8,100,8,800,cash
8,122,quaker oats,2025-05-15,6,212,6,1272,UPI
3,121,refined oil,2025-05-15,2,110,5,550,cash
3,121,dantkanti,2025-05-15,3,100,2,200,cash
9,123,maida,2025-05-15,7,20,2,40,UPI
20,123,dantkanti,2025-05-15,8,100,4,400,cash
17,122,clinic plus,2025-05-15,5,1.5,10,15.0,UPI
10,121,dantkanti,2025-05-15,3,100,6,600,cash
3,122,quaker oats,2025-05-15,5,212,6,1272,UPI
13,121,clinic plus,2025-05-15,1,1.5,10,15.0,cash
8,121,besan,2025-05-15,2,52,4,208,cash
17,121,maida,2025-05-15,2,20,8,160,cash
18,121,clinic plus,2025-05-15,3,1.5,7,10.5,UPI
15,123,maida,2025-05-15,9,20,1,20,UPI
20,122,refined oil,2025-05-15,5,110,10,1100,cash
15,122,nutrella,2025-05-15,6,40,8,320,UPI
17,123,sugar,2025-05-15,8,50,1,50,cash
11,121,clinic plus,2025-05-15,3,1.5,6,9.0,cash
15,123,besan,2025-05-15,7,52,6,312,cash
14,121,clinic plus,2025-05-15,2,1.5,5,7.5,UPI
15,123,nutrella,2025-05-15,8,40,8,320,cash
14,122,besan,2025-05-15,6,52,9,468,cash
17,121,refined oil,2025-05-15,1,110,8,880,cash
13,123,sugar,2025-05-15,9,50,7,350,cash
17,123,nutrella,2025-05-15,9,40,6,240,UPI
7,123,nutrella,2025-05-15,8,40,8,320,cash
16,123,refined oil,2025-05-15,7,110,10,1100,UPI
14,123,clinic plus,2025-05-15,8,1.5,3,4.5,UPI
9,122,refined oil,2025-05-15,4,110,10,1100,UPI
17,123,nutrella,2025-05-15,7,40,2,80,cash
11,122,dantkanti,2025-05-15,4,100,3,300,cash
11,121,nutrella,2025-05-15,3,40,10,400,UPI
11,121,besan,2025-05-15,1,52,5,260,cash
18,121,refined oil,2025-05-15,2,110,10,1100,cash
15,121,clinic plus,2025-05-15,1,1.5,9,13.5,cash
14,123,refined oil,2025-05-15,8,110,7,770,cash
9,123,dantkanti,2025-05-15,8,100,6,600,cash
19,122,nutrella,2025-05-15,5,40,6,240,UPI
9,122,nutrella,2025-05-15,4,40,5,200,cash
6,121,maida,2025-05-15,2,20,6,120,UPI
5,122,maida,2025-05-15,6,20,2,40,cash
17,121,quaker oats,2025-05-15,1,212,2,424,cash
19,121,refined oil,2025-05-15,2,110,5,550,cash
2,122,nutrella,2025-05-15,5,40,6,240,UPI
20,121,dantkanti,2025-05-15,1,100,6,600,UPI
13,123,refined oil,2025-05-15,8,110,4,440,UPI
8,123,refined oil,2025-05-15,9,110,7,770,cash
9,122,dantkanti,2025-05-15,5,100,5,500,cash
10,123,nutrella,2025-05-15,8,40,3,120,cash
2,123,dantkanti,2025-05-15,8,100,2,200,cash
7,121,refined oil,2025-05-15,1,110,6,660,cash
9,123,clinic plus,2025-05-15,8,1.5,4,6.0,cash
7,123,besan,2025-05-15,7,52,4,208,cash
13,123,quaker oats,2025-05-15,7,212,10,2120,cash
12,121,besan,2025-05-15,3,52,10,520,UPI
6,122,refined oil,2025-05-15,5,110,1,110,UPI
2,122,maida,2025-05-15,4,20,2,40,UPI
4,122,clinic plus,2025-05-15,5,1.5,8,12.0,cash
17,123,refined oil,2025-05-15,7,110,6,660,cash
16,121,sugar,2025-05-15,2,50,8,400,UPI
18,123,nutrella,2025-05-15,9,40,3,120,UPI
5,123,clinic plus,2025-05-15,7,1.5,9,13.5,UPI
1,123,quaker oats,2025-05-15,8,212,5,1060,UPI
3,121,refined oil,2025-05-15,2,110,2,220,UPI
12,123,besan,2025-05-15,8,52,8,416,cash
17,122,sugar,2025-05-15,6,50,10,500,UPI
18,121,besan,2025-05-15,1,52,4,208,cash
20,122,dantkanti,2025-05-15,5,100,8,800,UPI
19,122,nutrella,2025-05-15,4,40,8,320,UPI
16,121,nutrella,2025-05-15,1,40,9,360,UPI
4,123,maida,2025-05-15,7,20,8,160,UPI
7,122,besan,2025-05-15,5,52,10,520,cash
12,122,clinic plus,2025-05-15,4,1.5,9,13.5,UPI
19,122,refined oil,2025-05-15,5,110,7,770,UPI
1,123,dantkanti,2025-05-15,8,100,10,1000,UPI
8,121,refined oil,2025-05-15,1,110,8,880,UPI
8,123,quaker oats,2025-05-15,9,212,10,2120,cash
3,123,quaker oats,2025-05-15,8,212,4,848,cash
5,122,refined oil,2025-05-15,6,110,2,220,UPI
3,122,dantkanti,2025-05-15,6,100,7,700,UPI
4,122,quaker oats,2025-05-15,6,212,2,424,UPI
1,122,sugar,2025-05-15,5,50,6,300,UPI
5,123,quaker oats,2025-05-15,7,212,9,1908,UPI
1,123,quaker oats,2025-05-15,8,212,3,636,UPI
13,122,nutrella,2025-05-15,5,40,4,160,UPI
15,121,sugar,2025-05-15,2,50,2,100,UPI
10,123,nutrella,2025-05-15,9,40,4,160,UPI
2,121,nutrella,2025-05-15,3,40,9,360,cash
7,123,besan,2025-05-15,9,52,7,364,UPI
7,122,maida,2025-05-15,5,20,3,60,UPI
14,122,dantkanti,2025-05-15,4,100,1,100,UPI
1,121,refined oil,2025-05-15,1,110,1,110,cash
13,121,nutrella,2025-05-15,3,40,5,200,UPI
15,123,quaker oats,2025-05-15,7,212,1,212,UPI
18,122,dantkanti,2025-05-15,4,100,1,100,cash
14,122,besan,2025-05-15,6,52,8,416,UPI
14,122,sugar,2025-05-15,4,50,2,100,UPI
7,122,sugar,2025-05-15,4,50,3,150,cash
13,123,refined oil,2025-05-15,9,110,4,440,cash
14,123,refined oil,2025-05-15,8,110,5,550,cash
16,121,nutrella,2025-05-15,1,40,9,360,UPI
4,122,quaker oats,2025-05-15,4,212,7,1484,UPI
17,123,sugar,2025-05-15,9,50,7,350,cash
7,122,dantkanti,2025-05-15,6,100,3,300,UPI
1,122,besan,2025-05-15,5,52,8,416,cash
20,122,clinic plus,2025-05-15,6,1.5,2,3.0,UPI
11,123,refined oil,2025-05-15,7,110,1,110,cash
4,123,clinic plus,2025-05-15,7,1.5,6,9.0,UPI
13,121,refined oil,2025-05-15,3,110,9,990,cash
6,123,nutrella,2025-05-15,9,40,9,360,cash
2,123,dantkanti,2025-05-15,9,100,2,200,cash
6,121,sugar,2025-05-15,3,50,5,250,cash
12,121,maida,2025-05-15,1,20,10,200,UPI
13,121,maida,2025-05-15,3,20,8,160,cash
5,122,refined oil,2025-05-15,5,110,9,990,cash
15,122,quaker oats,2025-05-15,6,212,10,2120,cash
10,122,quaker oats,2025-05-15,5,212,1,212,cash
13,123,clinic plus,2025-05-15,8,1.5,8,12.0,cash
19,123,nutrella,2025-05-15,7,40,4,160,cash
9,121,sugar,2025-05-15,3,50,5,250,cash
10,122,besan,2025-05-15,5,52,3,156,UPI
2,122,sugar,2025-05-15,6,50,3,150,UPI
3,122,nutrella,2025-05-15,6,40,7,280,UPI
20,123,sugar,2025-05-15,9,50,9,450,cash
16,123,maida,2025-05-15,9,20,9,180,cash
10,121,sugar,2025-05-15,3,50,6,300,cash
3,123,clinic plus,2025-05-15,7,1.5,7,10.5,UPI
20,121,refined oil,2025-05-15,3,110,1,110,UPI
13,123,nutrella,2025-05-15,9,40,2,80,cash
3,121,maida,2025-05-15,1,20,1,20,cash
9,122,maida,2025-05-15,4,20,1,20,cash
6,123,dantkanti,2025-05-15,7,100,3,300,UPI
2,123,refined oil,2025-05-15,7,110,3,330,UPI
20,121,maida,2025-05-15,2,20,10,200,cash
20,122,nutrella,2025-05-15,5,40,9,360,UPI
11,122,besan,2025-05-15,6,52,9,468,UPI
17,121,quaker oats,2025-05-15,3,212,5,1060,UPI
11,122,besan,2025-05-15,4,52,8,416,cash
13,121,clinic plus,2025-05-15,1,1.5,5,7.5,UPI
17,122,sugar,2025-05-15,5,50,5,250,UPI
3,123,sugar,2025-05-15,9,50,1,50,cash
5,123,nutrella,2025-05-15,8,40,2,80,cash
19,122,besan,2025-05-15,5,52,10,520,cash
20,121,besan,2025-05-15,3,52,10,520,UPI
14,121,sugar,2025-05-15,3,50,10,500,UPI
8,121,refined oil,2025-05-15,1,110,10,1100,UPI
9,122,dantkanti,2025-05-15,5,100,5,500,UPI
3,123,besan,2025-05-15,8,52,10,520,UPI
16,122,sugar,2025-05-15,6,50,9,450,UPI
6,123,besan,2025-05-15,9,52,2,104,cash
11,121,refined oil,2025-05-15,3,110,4,440,cash
10,122,maida,2025-05-15,6,20,2,40,UPI
19,122,clinic plus,2025-05-15,4,1.5,8,12.0,cash
1,121,sugar,2025-05-15,1,50,7,350,UPI
20,123,maida,2025-05-15,9,20,9,180,UPI
5,121,besan,2025-05-15,2,52,9,468,UPI
20,121,quaker oats,2025-05-15,2,212,3,636,cash
18,122,quaker oats,2025-05-15,5,212,10,2120,UPI
6,121,quaker oats,2025-05-15,2,212,1,212,cash
19,122,refined oil,2025-05-15,6,110,3,330,cash
15,122,besan,2025-05-15,6,52,9,468,cash
15,122,nutrella,2025-05-15,4,40,1,40,UPI
11,121,refined oil,2025-05-15,1,110,6,660,cash
17,123,maida,2025-05-15,8,20,9,180,UPI
11,121,quaker oats,2025-05-15,1,212,10,2120,cash
